Filename,Fuel Tank Volume (cu ft),Oxidizer Tank Volume (cu ft),Oxidizer Tank Volume (L),Oxidizer Tank Inner Diameter (in),Fuel Tank Volume (L),Fuel Tank Inner Diameter (in),Specific Impulse (sec),Total Impulse (Ns),Burn Time (sec),Average Thrust (N),Fuel Mass (kg),Oxidizer Mass (kg),Propellant Mass (kg),Tank Mass (kg),Rocket Wet Mass (kg),Maximum Altitude (m),
fuel_19_ox_40,19,40,5.8,5,2.7,4.13,169.2953,6909.3349,3.8786,1781.39919,0.7895,3.536,4.3255,9.3,53.6255,,
fuel_19_ox_53,19,53,7.6,7,2.7,4.13,169.8783,7323.4129,4.0048,1828.658834,0.7896,3.9051,4.6947,11.1,55.7947,,
fuel_19_ox_63,19,63,9,7,2.7,4.13,170.4039,7615.6154,4.0932,1860.552966,0.7896,4.192,4.9816,12.5,57.4816,,
fuel_19_ox_80,19,80,11.1,7,2.7,4.13,171.1368,8011.6705,4.217,1899.850723,0.7896,4.6224,5.412,14.6,60.012,,
fuel_23_ox_40,23,40,5.8,5,3,3.69,170.5601,6919.0258,3.7466,1846.747931,0.7895,3.536,4.3255,8.8,53.1255,,
fuel_23_ox_53,23,53,7.6,7,3,3.69,171.4547,7330.3501,3.8658,1896.20521,0.7896,3.9051,4.6947,10.6,55.2947,,
fuel_23_ox_63,23,63,9,7,3,3.69,172.0773,7613.7826,3.9474,1928.809495,0.7896,4.192,4.9816,12,56.9816,,
fuel_23_ox_80,23,80,11.1,7,3,3.69,172.8413,7990.2594,4.0586,1968.723057,0.7896,4.6224,5.412,14.1,59.512,,
fuel_30_ox_40,30,40,5.8,5,4.3,5,171.2816,6813.013,3.4172,1993.741367,0.7895,3.536,4.3255,10.1,54.4255,,
fuel_30_ox_53,30,53,7.6,7,4.3,5,173.3013,7220.1911,3.5181,2052.298428,0.7896,3.9051,4.6947,11.9,56.5947,,
fuel_30_ox_63,30,63,9,7,4.3,5,174.529,7492.0063,3.5853,2089.645581,0.7896,4.192,4.9816,13.3,58.2816,,
fuel_30_ox_80,30,80,11.1,7,4.3,5,175.8248,7836.2334,3.6727,2133.64375,0.7896,4.6224,5.412,15.4,60.812,,
fuel_40_ox_40,40,40,5.8,5,5.8,5,170.7134,6698.1457,3.2453,2063.952701,0.7895,3.536,4.3255,11.6,55.9255,,
fuel_40_ox_53,40,53,7.6,7,5.8,5,172.9694,7082.4777,3.3336,2124.573344,0.7896,3.9051,4.6947,13.4,58.0947,,
fuel_40_ox_63,40,63,9,7,5.8,5,174.4143,7338.5425,3.3916,2163.740565,0.7896,4.192,4.9816,14.8,59.7816,,
fuel_40_ox_80,40,80,11.1,7,5.8,5,176.0578,7662.7944,3.4661,2210.78284,0.7896,4.6224,5.412,16.9,62.312,,
fuel_53_ox_40,53,40,5.8,5,7.6,7,170.1209,6609.2637,3.1388,2105.665764,0.7895,3.536,4.3255,13.4,57.7255,,
fuel_53_ox_53,53,53,7.6,7,7.6,7,172.4859,6976.3002,3.2192,2167.091265,0.7896,3.9051,4.6947,15.2,59.8947,,
fuel_53_ox_63,53,63,9,7,7.6,7,173.9865,7218.3779,3.2713,2206.577783,0.7896,4.192,4.9816,16.6,61.5816,,
fuel_53_ox_80,53,80,11.1,7,7.6,7,175.6988,7521.9501,3.3374,2253.835351,0.7896,4.6224,5.412,18.7,64.112,,
fuel_63_ox_40,63,40,5.8,5,9,7,169.7633,6561.5747,3.0883,2124.655862,0.7895,3.536,4.3255,14.8,59.1255,,
fuel_63_ox_53,63,53,7.6,7,9,7,172.1769,6920.1295,3.165,2186.454818,0.7896,3.9051,4.6947,16.6,61.2947,,
fuel_63_ox_63,63,63,9,7,9,7,173.7185,7156.1085,3.2144,2226.265711,0.7896,4.192,4.9816,18,62.9816,,
fuel_63_ox_80,63,80,11.1,7,9,7,175.4181,7447.7147,3.2765,2273.070258,0.7896,4.6224,5.412,20.1,65.512,,
fuel_80_ox_40,80,40,5.8,5,11.1,7,169.3398,6510.1253,3.0384,2142.616278,0.7895,3.536,4.3255,16.9,61.2255,,
fuel_80_ox_53,80,53,7.6,7,11.1,7,171.8184,6860.7842,3.1115,2204.976442,0.7896,3.9051,4.6947,18.7,63.3947,,
fuel_80_ox_63,80,63,9,7,11.1,7,173.37,7089.1987,3.1582,2244.695934,0.7896,4.192,4.9816,20.1,65.0816,,
fuel_80_ox_80,80,80,11.1,7,11.1,7,175.0846,7370.3089,3.2165,2291.406467,0.7896,4.6224,5.412,22.2,67.612,,
